dataset_id,name,official_url,access_status,modality,sample_size,labels,longitudinal,license_status,commercial_use,derivative_model_rights,redistribution,privacy_consent,technical_fit,status,recommended_action
ds_first_party,Prospective AcneTrex cohort,local governance design,not_collected,"tabular; optional images",0,predeclared future outcomes,planned,rights_unverified,rights_unverified,rights_unverified,rights_unverified,consent must be purpose-specific,highest,canonical_route,Draft and approve protocol consent labels and snapshot plan
ds_dermnet_paid,DermNet licensed AI dataset,https://dermnetnz.org/dermatology-image-dataset,commercial_inquiry,images,60000+ cases claimed,600+ condition labels,no,custom_contract,rights_unverified,rights_unverified,rights_unverified,claimed deidentified; diligence required,high for vision,needs_legal_review,Request acne subset sample dictionary and signed rights matrix
ds_acne04,ACNE04,https://github.com/xpwu95/LDL,author_contact,images,1457 reported,"boxes; counts; severity",no,academic_use,rights_unverified,rights_unverified,rights_unverified,consent and grouping unclear,high for acne vision,rights_unverified,Seek signed commercial licence and consent provenance
ds_scin,SCIN,https://github.com/google-research-datasets/scin,open_download,"images; metadata",10000+ images,condition differentials,no,custom_public_license,not expressly prohibited,rights_unverified,allowed subject to licence,consented donation but personality rights not licensed,medium auxiliary,rights_unverified,Counsel review exact product use and audit acne labels/group keys
ds_ddi,DDI,https://ddi-dataset.github.io/index.html,registered_research,images,"656 images; 570 patients",biopsy-proven skin disease,no,noncommercial_research,no,prohibited under free terms,prohibited,clinical deidentified data,low acne fit,rejected_free_terms,Use only under separate AIMI commercial agreement if useful for fairness
ds_acnescu,AcneSCU,https://github.com/pingguokiller/acnedetection,download_link,images,not verified in official README,fine-grained acne lesions,no,noncommercial,no,rights_unverified,rights_unverified,consent unclear,high task fit,rejected,Obtain new written permission or exclude
ds_acneeckh,ACNE-ECKH,https://pmc.ncbi.nlm.nih.gov/articles/PMC12024611/,not_available,images,8242 reported,study labels,no,no_public_license,no,no,no,unavailable for ethical legal privacy reasons,high task fit,not_available,Publication review only
ds_gsk_stf114546,GSK STF114546,https://clinicalstudydatarequest.com/Posting.aspx?ID=8,controlled_request,tabular,not verified,irritation and tolerance,short repeated study,DUA,rights_unverified,rights_unverified,no public grant,protected trial data,limited endpoint fit,rights_unverified,Submit proposal only if endpoint and derivative rights fit
ds_yoda_acne,YODA acne trial,https://yoda.yale.edu/trials-search/,controlled_request,tabular,not verified,not verified,unknown,partner_DUA,rights_unverified,rights_unverified,no public grant,protected trial data,unknown,rights_unverified,Identify trial endpoint and request terms
ds_acne_id,Acne-ID ISRCTN45540647,https://www.isrctn.com/ISRCTN45540647,future_controlled,tabular,800 target,CASS IGA repeated outcomes,yes,future_DUA,rights_unverified,rights_unverified,no public grant,pseudo-anonymised planned,high temporal fit,future_candidate,Track publication then request after stated delay
ds_v4,V4 representation pack,local supplied archive,available,"CSV; JSONL; static",synthetic fixtures only,synthetic and static,no,mixed references,no,no,no,synthetic fixtures; no real cohort,non-training only,accepted_non_training,Use for schemas ontology fixtures and validation only
